Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Water Scarcity Level,Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
Argentina,2011,871.49,491.6,Low,28.38,22.85,33.97,2129.83,1.11
Saudi Arabia,2018,147.27,283.24,Medium,32.64,30.22,26.65,115.93,0.99
Saudi Arabia,2021,136.04,467.44,Medium,64.5,23.09,23.48,408.49,2.84
Mexico,2023,183.92,233.3,High,28.85,15.83,15.5,2764.08,0.61
Russia,2024,960.66,499.48,Low,33.38,19.58,12.79,1356.67,4.13
France,2006,696.24,310.65,Medium,45.47,15.47,18.36,610.93,1.21
USA,2019,803.36,69.02,Medium,24.33,17.12,31.57,2400.36,2.79
France,2005,403.66,314.04,High,32.76,9.21,22.35,2569.62,0.71
Brazil,2020,342.95,173.56,Medium,28.99,24.19,27.11,712.52,4.31
Russia,2023,242.14,64.62,High,77.08,15.59,12.46,2169.44,3.49
Indonesia,2000,485.84,419.38,Medium,31.49,25.18,13.7,1883.89,1.11
Turkey,2016,556.31,174.08,High,71.71,40.65,10.34,2260.66,3.61
Italy,2010,635.46,408.45,Low,26.89,25.17,30.2,2384.91,0.51
Argentina,2021,264.55,179.7,Low,72.18,47.96,17.93,2016.71,3.88
USA,2017,949.17,137.45,Medium,55.97,11.65,39.01,2873.03,2.5
France,2020,178.06,488.27,Medium,70.98,43.26,19.25,2606.26,0.69
USA,2016,966.0,212.74,High,72.04,16.17,20.91,764.02,2.8
Indonesia,2006,24.71,320.62,High,55.78,47.03,24.08,2749.34,1.08
Australia,2016,486.31,324.49,Low,75.06,15.22,19.57,1142.83,3.4
Russia,2019,340.03,302.21,Medium,55.13,38.61,34.52,2206.97,3.57
China,2008,454.63,461.61,High,62.75,7.8,36.29,2559.23,3.83
Australia,2016,574.96,353.5,Low,44.96,33.34,10.33,1365.47,4.48
Brazil,2019,441.23,231.68,Low,74.84,14.84,29.64,249.37,3.31
Italy,2021,420.7,438.07,High,69.45,35.16,30.58,2854.02,2.51
South Korea,2021,735.4,131.48,Medium,30.0,33.61,38.84,310.19,4.29
France,2007,689.02,294.91,Low,54.58,46.57,21.11,1109.52,4.51
Japan,2016,834.94,477.75,High,73.81,33.2,15.86,1829.7,3.93
Turkey,2006,257.46,331.43,Low,67.58,23.37,25.62,440.86,4.72
France,2000,613.43,417.64,Medium,77.75,13.71,23.43,2530.8,4.9
France,2012,589.34,344.1,High,33.88,34.59,33.75,689.92,1.33
South Africa,2022,376.04,427.72,Medium,42.05,10.24,37.12,2959.41,1.0
India,2018,491.2,475.02,Medium,50.43,42.28,12.6,2757.66,2.3
Italy,2023,320.64,172.81,Low,33.96,16.13,35.4,1853.21,4.98
India,2018,150.43,126.35,Medium,43.64,28.59,37.27,2014.03,0.53
Australia,2016,221.66,267.8,Low,52.25,31.82,37.72,1647.46,3.59
Argentina,2012,114.46,365.84,High,31.48,21.31,32.93,1234.2,4.27
China,2015,686.24,152.24,High,35.4,34.87,32.26,1119.95,4.98
Argentina,2007,664.12,51.85,Low,27.49,16.26,10.45,2685.8,3.14
Saudi Arabia,2018,951.1,204.32,Low,62.8,6.56,37.61,1772.2,1.96
China,2017,732.38,485.99,Low,41.69,48.17,20.55,2487.55,0.92
Spain,2000,61.53,362.74,Medium,33.22,19.4,11.23,1590.81,4.91
UK,2013,885.4,230.6,High,50.44,37.11,22.39,990.37,4.63
Australia,2018,864.05,136.66,High,24.09,27.84,31.99,366.1,4.04
Australia,2014,448.89,210.24,Medium,75.4,35.1,23.26,1038.72,4.72
Japan,2017,590.0,126.43,Low,37.67,9.99,32.74,2652.34,0.4
USA,2001,976.32,97.84,High,73.19,28.35,25.28,2164.69,3.19
South Africa,2021,536.98,458.03,Medium,49.86,22.65,18.98,2378.91,1.45
Canada,2016,906.27,498.94,Low,71.01,25.33,16.09,2342.96,3.85
Australia,2017,92.21,123.85,High,34.82,48.48,22.63,447.92,0.57
Indonesia,2005,199.14,74.54,Low,30.52,11.13,11.07,560.7,1.37
Germany,2018,446.35,198.38,Medium,70.96,38.96,22.68,1019.99,4.27
Saudi Arabia,2003,588.91,257.75,High,32.78,19.87,12.06,972.98,3.77
South Africa,2000,818.07,142.17,Low,64.77,18.07,36.31,291.64,4.96
Spain,2007,988.38,185.64,Low,40.68,17.18,27.26,545.07,3.26
Turkey,2022,394.96,140.39,Low,64.89,20.7,29.38,2583.07,1.59
France,2006,56.94,398.42,Medium,74.46,21.07,18.67,1808.23,2.78
Canada,2002,803.16,370.66,Low,78.9,17.18,16.77,1092.62,4.73
Saudi Arabia,2009,608.34,335.73,High,41.59,35.04,31.24,1626.79,3.29
China,2009,206.56,224.25,High,42.05,7.15,30.15,857.81,4.42
China,2018,499.88,459.07,Low,78.88,19.95,13.68,1793.14,0.21
Italy,2013,744.89,486.29,Medium,71.69,17.61,17.16,316.43,1.91
Japan,2001,772.71,128.14,High,22.71,38.81,38.4,2717.69,4.68
Canada,2000,504.62,150.36,High,54.41,11.59,19.13,797.3,0.29
Italy,2022,312.16,286.53,High,30.87,47.33,10.77,2475.32,2.64
Canada,2022,974.01,91.06,Low,79.64,12.67,11.91,2014.0,1.8
Australia,2017,666.73,246.4,High,28.34,21.65,33.26,1616.72,3.27
China,2006,414.16,311.81,Low,53.56,13.99,32.71,2796.41,0.89
Saudi Arabia,2007,287.66,284.93,Low,59.91,17.9,21.45,554.76,3.3
Spain,2000,733.79,198.91,Low,76.22,39.25,14.6,445.9,4.96
Russia,2024,249.76,294.1,Low,70.84,26.44,24.94,1033.39,1.43
China,2022,179.99,481.46,Low,34.75,12.32,19.96,2507.64,2.36
USA,2002,534.54,142.71,High,54.36,7.1,21.22,202.08,0.25
South Korea,2023,297.09,344.67,Low,77.21,15.35,17.83,794.28,2.23
Brazil,2022,632.62,69.53,Low,64.14,47.55,11.89,1331.64,2.09
China,2007,126.76,79.89,Low,61.3,43.04,33.73,2167.53,2.87
Mexico,2021,658.39,298.32,Low,65.29,24.81,28.55,968.01,1.36
China,2024,290.46,97.22,Low,39.35,26.69,35.04,1399.53,1.71
Indonesia,2014,10.24,60.06,Low,63.76,45.47,25.1,1076.87,3.09
Italy,2004,135.67,127.18,High,33.97,31.61,39.55,366.97,4.55
Germany,2002,934.28,304.18,Low,45.69,44.63,38.88,2242.16,1.25
Spain,2018,868.68,366.5,Low,73.4,27.13,18.15,1438.0,3.42
Russia,2000,241.27,141.12,High,21.14,14.0,21.61,2456.29,2.67
Australia,2014,780.59,350.72,High,44.86,37.67,32.58,2114.61,0.61
Mexico,2007,612.49,132.11,Medium,36.01,28.69,33.3,267.66,2.87
Mexico,2001,971.2,326.06,High,31.92,35.08,37.32,1550.22,3.57
Germany,2002,379.87,235.38,High,70.31,12.08,29.58,2973.48,3.03
Turkey,2023,684.65,344.21,Low,61.79,34.14,24.25,992.82,0.61
Mexico,2013,72.9,497.77,Medium,26.76,22.2,21.33,1529.58,4.29
China,2023,402.28,472.02,Low,49.67,19.94,22.58,1990.89,0.3
Italy,2013,964.18,51.93,Medium,48.01,35.22,35.51,686.57,1.26
UK,2010,543.59,448.45,Low,28.55,31.65,39.4,2137.27,3.12
Brazil,2015,295.0,79.92,High,67.99,34.21,11.56,2013.35,1.17
South Africa,2003,129.07,478.87,High,42.0,48.44,27.41,1187.39,0.6
Brazil,2019,706.49,176.82,Medium,65.72,36.55,25.6,924.87,2.61
Mexico,2004,648.41,221.92,Low,31.52,33.84,21.28,2765.4,3.64
Saudi Arabia,2021,380.2,91.24,Low,38.9,32.61,35.55,468.37,2.11
Brazil,2020,951.43,100.52,High,25.71,22.94,27.27,1352.89,3.52
USA,2013,31.98,377.03,High,28.61,42.76,19.39,2324.25,4.32
South Africa,2022,310.69,474.95,Medium,72.99,22.14,23.32,529.6,4.8
Brazil,2015,921.86,324.84,High,26.55,36.51,20.7,2805.49,1.24
Spain,2017,327.73,372.13,Medium,25.74,18.19,22.9,1626.13,3.07
Turkey,2006,259.73,392.89,Medium,76.42,11.65,12.14,1563.97,1.41
UK,2009,538.88,168.27,Medium,58.75,10.84,13.36,1330.4,4.37
India,2006,825.56,70.35,Medium,26.05,33.56,28.71,2615.61,4.46
South Africa,2000,112.12,50.84,High,78.3,19.76,30.52,2850.48,1.68
Saudi Arabia,2022,943.59,207.79,Medium,28.83,17.38,29.1,1202.2,3.26
Germany,2020,797.12,158.66,High,65.98,31.64,32.89,1672.94,4.45
Brazil,2018,189.44,78.04,Medium,22.09,6.16,38.31,1014.73,2.59
Japan,2015,714.89,130.79,High,57.47,16.08,35.82,1167.25,3.63
South Korea,2018,391.11,106.02,Medium,52.8,20.32,22.56,182.17,4.02
Mexico,2003,408.27,461.7,High,32.48,36.88,16.53,2379.21,4.37
Russia,2017,785.46,113.12,Low,58.59,29.53,19.36,2911.07,2.62
Mexico,2001,963.16,291.94,Medium,57.02,43.52,27.63,2331.63,4.71
UK,2000,135.39,316.9,Medium,67.9,20.05,35.69,1602.81,3.18
Italy,2014,426.42,294.57,Low,72.55,18.34,31.05,2499.78,0.84
Saudi Arabia,2004,486.13,94.58,Low,50.61,6.49,26.29,2587.85,3.1
Argentina,2019,382.55,193.46,Medium,49.42,47.83,28.06,1679.12,1.56
South Africa,2010,369.56,73.07,High,57.3,27.57,25.85,2817.76,1.92
Mexico,2009,61.75,228.05,Medium,63.75,27.61,39.15,187.49,4.06
Russia,2001,688.68,134.87,High,41.37,46.55,34.48,129.28,4.87
Mexico,2002,441.85,302.73,Low,50.28,18.05,33.44,336.23,4.36
Indonesia,2022,202.85,361.76,High,55.11,19.94,25.52,267.79,1.7
Italy,2022,817.87,289.45,Medium,79.3,34.54,19.95,1331.37,2.32
Argentina,2011,804.54,245.41,Low,55.26,40.33,10.59,2826.93,4.92
Canada,2019,491.53,224.3,Low,33.45,36.47,11.3,2058.15,4.63
Indonesia,2004,305.47,428.76,Medium,55.28,40.49,10.91,2012.41,4.89
Italy,2004,641.71,148.72,Medium,69.17,30.88,39.41,1216.17,2.22
China,2005,295.27,380.4,Low,71.44,43.83,13.43,1647.92,4.02
Germany,2008,243.65,390.87,High,68.02,29.75,14.26,982.11,4.37
South Africa,2001,733.21,238.64,High,73.29,15.32,24.52,1601.73,0.32
Spain,2020,49.92,183.79,High,40.09,29.38,24.44,2265.32,1.4
Japan,2011,103.82,261.74,Medium,50.45,37.08,37.6,1720.21,4.43
Mexico,2002,16.72,91.95,Low,66.78,34.41,12.21,1314.73,2.0
Indonesia,2019,161.41,70.67,High,35.87,15.94,38.72,2550.27,1.47
France,2021,78.3,100.22,Low,42.29,6.85,16.49,933.58,1.44
USA,2011,995.84,134.22,High,69.87,16.36,39.1,1496.31,1.94
India,2023,295.92,276.88,Low,66.21,49.28,26.24,2936.63,1.3
Argentina,2016,157.78,432.11,Medium,78.27,13.3,29.56,2905.23,0.12
South Korea,2009,248.59,156.04,Medium,79.76,25.9,19.47,118.23,0.95
Mexico,2023,936.76,470.82,Medium,34.44,33.73,28.35,1643.48,4.42
Japan,2013,524.96,479.71,High,74.03,44.58,31.32,1077.07,0.47
South Africa,2022,371.17,481.51,Medium,25.67,39.21,10.31,944.55,2.12
Spain,2016,874.66,426.9,Medium,62.59,45.9,11.03,1829.13,2.34
India,2017,401.04,213.72,Medium,33.21,32.2,39.59,1394.28,3.91
Germany,2018,341.66,82.71,Low,38.02,43.94,23.73,2225.24,1.34
Canada,2016,215.21,305.97,Low,76.78,16.87,38.07,178.69,1.62
UK,2013,384.02,301.41,Low,35.79,24.38,31.9,2787.98,0.17
China,2008,323.52,432.49,Low,60.39,42.97,21.19,1746.02,4.52
South Africa,2007,680.53,498.2,Low,30.69,19.65,14.53,2083.79,3.46
Germany,2001,296.69,278.67,Low,25.6,44.2,39.34,1853.3,1.39
Japan,2012,581.43,205.34,Low,40.36,21.34,27.53,2968.48,4.45
USA,2024,75.23,133.66,Medium,57.45,21.35,15.77,2960.27,0.52
Spain,2006,199.38,52.16,Medium,34.88,18.91,30.45,1868.69,1.91
Italy,2008,413.33,279.1,High,38.01,29.61,12.76,2083.49,2.86
France,2021,937.58,299.98,Medium,62.52,10.81,36.04,1893.85,2.58
Russia,2021,383.48,421.22,Low,26.17,6.65,12.7,1000.97,3.31
Indonesia,2010,667.43,277.06,Low,46.81,45.38,17.09,658.58,1.56
France,2013,262.54,462.41,High,76.5,46.8,12.74,1268.01,3.81
Saudi Arabia,2003,135.76,332.64,Medium,43.82,8.43,13.11,2079.99,2.09
India,2012,67.95,428.15,Medium,46.05,29.74,25.72,262.33,0.71
Spain,2001,312.36,116.74,High,64.29,29.29,30.61,1591.49,3.73
Mexico,2022,166.08,434.9,Low,66.74,21.76,33.65,1284.35,4.57
India,2004,182.27,353.81,Low,66.18,30.6,30.85,1629.71,1.89
USA,2010,763.15,126.6,Low,79.87,25.62,20.9,2594.66,2.99
Indonesia,2005,25.68,135.39,Low,24.29,27.03,26.72,238.07,3.47
USA,2017,562.23,466.93,High,78.94,38.99,37.83,2314.51,4.17
Argentina,2020,385.67,64.5,Medium,77.01,28.67,21.63,2034.04,1.07
China,2009,511.48,258.14,Low,71.13,19.56,17.57,691.16,2.89
Spain,2003,567.2,191.06,Medium,47.25,31.17,25.58,2229.13,3.73
UK,2008,320.23,349.28,Medium,72.25,33.83,18.92,1539.48,1.08
Japan,2005,302.16,427.83,Low,33.25,34.8,17.85,1494.97,2.42
Saudi Arabia,2001,736.07,212.17,Low,67.5,32.82,33.36,1500.9,2.38
South Korea,2016,872.56,242.11,Low,31.11,34.91,36.73,2852.78,4.21
USA,2004,200.66,491.86,Medium,68.92,18.95,25.07,2838.66,3.91
India,2024,106.64,402.76,High,56.87,25.08,33.39,2749.46,1.24
India,2005,898.82,453.74,Low,25.88,35.09,15.61,2671.55,1.24
Germany,2011,356.4,247.44,Medium,73.72,38.95,26.43,209.01,3.64
Italy,2022,555.8,155.33,Medium,54.68,24.54,29.09,1261.73,3.72
Italy,2020,365.95,235.34,Low,59.37,21.44,24.72,2695.14,0.98
Spain,2009,134.54,372.24,High,37.01,37.21,13.51,2289.87,2.11
South Africa,2021,593.44,99.24,Low,72.3,15.0,32.02,1424.31,4.15
Spain,2020,529.89,171.71,Low,52.71,5.43,35.17,2342.43,0.49
Canada,2024,210.96,70.99,High,45.27,26.2,29.06,703.74,1.93
Russia,2005,457.35,244.56,Low,52.06,12.8,15.07,1839.42,3.26
Brazil,2007,798.98,422.35,Low,62.2,22.02,12.24,1645.7,3.88
South Korea,2001,594.52,61.1,High,61.7,18.11,19.05,1763.29,3.3
South Korea,2011,105.95,353.9,Medium,41.45,39.98,11.11,2193.21,2.05
UK,2012,552.54,469.62,Medium,43.12,19.91,35.18,2854.43,4.96
South Africa,2024,705.71,156.62,Medium,53.73,33.83,31.09,865.63,0.3
France,2020,794.78,362.14,Medium,75.46,35.33,26.91,2298.35,2.52
South Africa,2006,632.83,488.8,Medium,64.73,25.54,36.69,1970.91,2.6
South Africa,2009,161.13,483.03,Low,43.42,8.65,13.3,2115.92,1.27
Spain,2012,713.07,155.72,High,40.22,36.52,31.43,1343.87,2.84
Indonesia,2016,680.57,95.15,Medium,51.42,8.38,14.4,2839.28,1.18
South Africa,2020,34.18,116.73,High,72.2,9.46,11.83,1491.0,2.27
France,2013,417.63,365.92,Medium,20.52,13.82,13.99,452.62,2.22
South Korea,2001,339.62,376.59,Low,62.63,17.62,38.53,2074.01,3.89
Japan,2021,672.72,353.41,Medium,37.67,43.09,23.21,473.72,4.72
Spain,2010,223.97,201.24,Medium,32.5,35.37,11.47,1035.76,1.09
Japan,2000,594.96,126.4,High,20.73,22.42,27.51,761.22,4.96
Australia,2018,914.07,311.34,High,73.8,49.04,15.99,1662.91,4.71
Saudi Arabia,2020,799.82,267.66,Low,74.73,15.96,10.21,1107.76,0.65
South Korea,2003,922.24,377.98,High,23.69,32.44,32.75,563.57,4.57
France,2018,978.72,248.61,High,51.31,43.12,14.65,2393.36,2.87
South Africa,2020,20.56,202.39,High,29.15,41.09,38.27,1458.63,4.41
Canada,2010,626.51,182.07,Low,65.52,9.06,27.78,1417.9,4.73
Spain,2007,418.71,145.16,Low,59.92,36.38,12.61,2670.45,4.31
South Korea,2010,861.26,169.59,Low,37.83,16.6,16.53,1662.59,2.07
Saudi Arabia,2003,259.3,92.67,High,27.02,21.01,28.33,2158.7,3.22
Russia,2016,981.22,206.09,High,69.87,27.0,20.14,1051.39,2.38
South Korea,2006,617.57,66.46,Low,60.46,40.58,25.96,1727.74,1.9
Italy,2007,795.6,133.89,High,20.41,12.48,33.99,2206.6,1.33
Indonesia,2002,94.74,386.05,High,57.67,9.88,33.78,959.77,2.26
Mexico,2021,191.62,196.46,Medium,68.62,11.9,30.94,2096.75,4.05
France,2001,760.82,350.71,Low,55.45,14.82,36.58,1749.41,4.24
Australia,2022,31.77,372.6,Low,45.48,7.68,15.98,1359.16,4.79
France,2014,818.71,311.53,High,55.04,46.69,15.32,2167.61,1.52
UK,2023,23.81,481.41,High,57.18,19.36,33.98,1019.02,3.29
China,2021,660.55,59.65,Medium,58.4,12.96,19.63,2172.06,3.5
France,2021,371.44,382.39,Low,78.02,33.7,25.37,1698.23,1.04
South Korea,2004,615.38,481.45,Low,30.72,40.41,32.32,812.25,1.9
UK,2023,699.07,438.02,High,57.39,38.9,21.88,2038.0,1.78
Mexico,2000,349.05,125.55,Low,31.28,37.34,13.9,2665.82,4.93
Spain,2003,116.88,197.07,High,32.6,7.27,30.38,999.04,4.8
UK,2014,78.95,127.6,Medium,60.16,40.2,34.51,2455.76,4.13
Argentina,2019,593.05,320.59,High,74.96,27.58,10.38,1074.78,2.42
Australia,2018,525.45,370.48,Medium,29.54,34.21,26.88,2481.25,1.39
USA,2002,744.78,192.68,High,77.75,48.04,24.08,248.34,4.59
India,2019,514.64,292.78,Medium,39.16,41.48,17.79,120.92,1.41
Japan,2010,428.22,360.91,Medium,43.48,42.14,14.83,428.46,2.66
Japan,2016,404.11,239.6,Low,29.22,13.17,15.64,2634.43,1.3
Spain,2012,36.18,434.31,High,56.95,26.44,31.75,1647.79,4.86
Indonesia,2010,342.2,397.2,Low,55.79,47.72,26.09,1822.89,0.3
Russia,2001,976.26,79.1,Low,46.54,31.22,39.43,2542.4,0.95
France,2008,874.82,329.51,High,48.57,9.62,17.3,246.87,3.85
Russia,2001,336.08,155.9,Low,57.38,37.93,38.71,1222.61,0.84
Brazil,2020,591.92,300.88,Low,55.01,6.93,25.45,1964.96,4.9
Italy,2008,848.82,480.6,Low,42.46,38.4,14.38,1273.57,1.67
UK,2008,446.86,445.58,High,73.05,44.59,14.45,193.18,4.6
Mexico,2007,27.78,232.03,Low,60.06,24.14,28.26,1987.74,3.35
Italy,2016,83.77,181.18,Low,32.32,23.61,34.94,1235.06,3.21
France,2000,515.29,155.48,Low,39.19,18.69,32.43,155.71,4.59
South Korea,2024,969.74,289.63,High,67.27,44.46,29.67,594.5,2.62
Germany,2010,696.28,101.41,Medium,26.27,29.65,15.16,730.99,2.06
Mexico,2007,80.21,297.17,Medium,65.01,31.07,13.25,1580.79,1.17
Saudi Arabia,2009,197.47,50.6,Medium,41.53,34.78,10.01,640.49,0.81
South Africa,2024,773.61,195.73,Medium,53.1,18.51,13.05,1147.85,3.98
Spain,2006,843.03,148.97,Low,36.83,24.48,32.99,2276.93,0.73
Brazil,2002,621.52,487.05,High,79.19,38.37,36.86,2442.39,2.03
France,2002,647.98,377.26,Low,74.35,49.35,17.21,2406.7,2.11
Argentina,2017,38.05,207.34,High,75.71,6.54,33.85,2115.74,3.36
Russia,2004,830.24,91.78,Low,31.09,6.92,15.97,1671.26,1.46
Mexico,2011,790.39,282.56,Medium,70.5,24.26,17.48,1696.83,4.21
France,2011,266.44,146.05,Medium,52.12,34.68,16.72,2864.82,1.12
Canada,2018,711.59,291.39,High,62.47,22.39,11.55,2645.82,3.97
South Africa,2005,222.71,425.91,Low,33.05,49.98,15.82,1984.37,4.26
Turkey,2001,49.93,327.11,Medium,62.72,13.79,21.21,1458.64,1.05
France,2011,209.13,335.2,High,74.86,5.36,22.16,2214.3,4.07
Indonesia,2018,186.84,293.46,Low,36.05,13.56,19.28,281.88,3.6
South Korea,2004,344.37,467.27,High,34.0,44.91,25.44,2839.36,4.38
USA,2011,424.27,469.36,Low,26.26,11.53,21.34,1687.98,2.6
Brazil,2016,513.45,280.73,Low,36.01,26.55,39.11,1558.09,1.25
Mexico,2016,481.99,187.59,Low,52.15,23.87,34.22,943.42,4.57
Mexico,2009,277.97,256.81,High,69.96,34.96,37.93,109.83,3.97
India,2024,38.88,133.95,High,36.73,7.46,26.72,277.61,0.2
Argentina,2022,609.05,336.35,Low,57.27,34.64,30.35,862.72,4.7
India,2016,401.79,275.04,Medium,48.78,20.96,15.0,1670.48,4.75
Saudi Arabia,2014,305.69,96.49,Low,37.31,46.67,32.58,342.38,1.84
Mexico,2011,868.27,138.94,High,50.62,43.2,17.08,2918.95,0.15
Spain,2015,749.28,265.83,Low,30.08,22.98,14.37,1291.79,2.81
South Africa,2023,859.19,449.42,High,58.37,49.68,11.26,1017.32,4.58
Indonesia,2018,500.03,304.88,Low,26.94,7.34,24.17,1623.07,0.71
Mexico,2007,139.62,356.69,Low,63.86,40.49,18.6,288.46,2.99
South Korea,2020,699.26,202.56,Medium,30.66,24.52,39.6,2566.31,3.69
UK,2016,214.01,307.14,Medium,79.89,24.5,17.5,1434.8,0.76
Australia,2022,446.82,251.32,High,69.42,12.66,36.0,617.17,2.62
Indonesia,2004,74.35,346.61,Low,40.63,28.17,19.49,569.03,0.54
Spain,2021,827.06,72.76,High,45.57,8.81,32.47,1146.77,2.83
UK,2015,134.68,271.99,Low,35.55,32.75,29.8,1762.75,2.27
Australia,2005,904.07,183.2,Low,66.03,15.87,26.85,1309.03,1.4
Russia,2007,865.59,196.78,Low,42.84,37.62,22.5,1830.71,4.28
Argentina,2024,469.94,482.41,Medium,65.31,32.33,30.13,2145.89,1.97
Turkey,2017,746.92,132.21,High,21.1,38.59,22.22,2270.62,3.53
Argentina,2024,623.25,190.06,Low,28.14,38.74,26.44,1262.77,3.97
Canada,2011,805.04,279.45,Low,41.9,13.85,27.69,2179.31,0.98
Australia,2014,437.49,438.36,High,26.53,5.03,18.02,510.36,0.68
Australia,2008,787.95,237.5,High,56.07,21.46,20.19,1587.98,0.14
Russia,2012,467.83,384.74,Low,23.05,46.36,10.54,310.29,1.6
Saudi Arabia,2014,941.56,435.37,Medium,71.59,31.01,35.56,807.91,4.1
Turkey,2009,491.51,189.51,Medium,65.68,37.74,32.68,1791.24,3.89
UK,2015,467.99,226.74,Low,32.98,44.58,15.51,2247.22,4.37
Spain,2006,787.22,210.45,Medium,49.03,45.77,20.86,376.4,3.83
USA,2016,823.36,424.79,High,47.11,28.81,22.63,700.5,0.22
USA,2022,558.94,69.96,Medium,63.49,29.34,20.03,2976.5,1.99
Italy,2020,188.0,188.79,High,44.09,43.29,33.95,1079.21,0.13
China,2021,473.08,355.73,High,21.98,41.34,31.76,923.72,0.28
Brazil,2006,968.39,304.45,High,36.42,36.45,33.01,347.25,2.44
Argentina,2013,755.46,246.33,High,47.97,32.2,37.12,2115.04,1.86
Brazil,2014,813.05,292.98,Medium,78.47,32.77,27.85,1573.93,2.84
France,2020,42.5,138.91,High,72.87,21.33,28.44,556.9,0.42
Brazil,2006,473.18,243.82,Low,30.88,42.84,31.66,1935.4,2.98
USA,2008,650.15,275.77,High,63.4,32.8,30.44,1624.71,0.42
Russia,2018,831.73,455.54,Low,76.21,15.06,36.09,1738.34,2.18
Turkey,2015,58.78,167.38,High,20.53,15.79,33.11,2985.08,1.83
Canada,2007,853.91,440.52,High,63.26,43.77,13.61,182.98,1.2
India,2017,552.92,339.91,Medium,47.56,33.16,37.85,2753.42,1.63
Japan,2022,205.34,59.15,High,60.81,22.94,30.49,2541.48,0.1
South Korea,2017,324.08,376.08,High,56.34,13.42,13.81,1304.49,1.69
Brazil,2019,289.11,66.0,Medium,79.08,32.46,33.16,2654.74,0.48
Turkey,2006,535.55,498.82,Medium,37.33,13.29,20.75,1980.83,4.61
Spain,2002,61.17,442.69,Low,67.17,26.16,34.18,2679.13,0.46
France,2017,166.95,183.8,Medium,34.08,35.49,38.66,1824.72,4.77
Mexico,2009,814.57,165.84,Low,46.14,30.44,17.66,726.83,2.51
Turkey,2006,141.28,221.65,High,78.52,46.49,35.72,1771.04,2.61
Saudi Arabia,2016,241.06,210.28,Low,65.97,6.79,33.21,619.28,3.96
India,2013,458.84,217.55,Medium,38.95,17.59,30.14,508.4,3.51
Indonesia,2023,521.95,193.22,High,57.16,7.57,21.55,1996.78,1.26
Brazil,2002,765.97,329.51,Low,22.98,13.76,13.3,2847.68,0.22
Germany,2011,452.86,123.92,Low,35.98,10.58,24.52,1806.64,3.91
Argentina,2012,791.97,430.69,Low,63.1,37.97,13.17,2407.78,0.74
Russia,2001,622.16,415.58,High,54.21,21.62,25.0,588.26,3.03
Saudi Arabia,2002,121.97,264.42,Low,48.18,46.63,34.61,1997.21,4.72
Mexico,2004,164.77,433.73,Low,61.45,6.05,39.93,2225.63,2.79
Saudi Arabia,2010,442.66,161.22,Medium,43.91,34.38,15.94,220.68,1.5
